id,firstDate,lastDate,catHosp,status,ward_id,wardType,newID
006-0100-&-&,2020-05-14,2020-05-14,ext physician,PE,6,General paediatrics,General paediatrics
006-0101-J-Q,2020-05-14,2020-05-14,reeducation staff,PE,6,General paediatrics,General paediatrics
006-0102-L-D,2020-05-14,2020-05-14,physician,PE,6,General paediatrics,General paediatrics
006-0103-&-&,2020-05-14,2020-05-14,other,PE,6,General paediatrics,General paediatrics
006-0105-T-M,2020-05-14,2020-05-14,aux nurse,PE,6,General paediatrics,General paediatrics
006-0104-A-A,2020-05-14,2020-05-14,visitor,V,6,General paediatrics,General paediatrics
006-0106-L-C,2020-05-14,2020-05-14,other,PE,6,General paediatrics,General paediatrics
006-0107-G-H,2020-05-14,2020-05-14,other,PE,6,General paediatrics,General paediatrics
006-0108-B-E,2020-05-14,2020-05-14,other,PE,6,General paediatrics,General paediatrics
006-0109-B-P,2020-05-14,2020-05-14,visitor,V,6,General paediatrics,General paediatrics
006-0110-R-E,2020-05-14,2020-05-14,other,PE,6,General paediatrics,General paediatrics
018-0001-V-A,2020-05-18,2020-05-18,investigation,PE,18,Geriatry,Geriatry #1
018-0002-O-L,2020-05-18,2020-05-18,investigation,PE,18,Geriatry,Geriatry #1
018-0003-N-L,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0004-C-V,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0005-P-G,2020-05-18,2020-05-18,investigation,PE,18,Geriatry,Geriatry #1
018-0006-A-A,2020-05-18,2020-05-18,investigation,PE,18,Geriatry,Geriatry #1
018-0007-P-D,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0008-M-L,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0009-P-H,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0010-K-G,2020-05-18,2020-05-18,administration,PE,18,Geriatry,Geriatry #1
018-0011-T-I,2020-05-18,2020-05-18,student nurse,PE,18,Geriatry,Geriatry #1
018-0012-F-N,2020-05-18,2020-05-18,student nurse,PE,18,Geriatry,Geriatry #1
018-0013-L-M,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0014-F-F,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0015-D-S,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0016-H-R,2020-05-18,2020-05-18,student nurse,PE,18,Geriatry,Geriatry #1
018-0017-B-A,2020-05-18,2020-05-18,student nurse,PE,18,Geriatry,Geriatry #1
018-0018-C-T,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0019-B-A,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0020-D-V,2020-05-18,2020-05-18,administration,PE,18,Geriatry,Geriatry #1
018-0021-P-R,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
018-0022-D-F,2020-05-18,2020-05-18,reeducation staff,PE,18,Geriatry,Geriatry #1
018-0023-A-R,2020-05-18,2020-05-18,reeducation staff,PE,18,Geriatry,Geriatry #1
018-0024-P-M,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0025-&-&,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
018-0026-V-L,2020-05-18,2020-05-18,reeducation staff,PE,18,Geriatry,Geriatry #1
018-0027-M-L,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0028-C-J,2020-05-18,2020-05-18,ext physician,PE,18,Geriatry,Geriatry #1
018-0029-L-A,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
018-0030-B-X,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
