from,to,date_posix_first,length,ward_id,wardType,newID
008-0001-B-T,008-0002-C-M,2020-05-04T04:39:00Z,450,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0002-C-M,2020-05-04T04:50:10Z,350,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0002-C-M,2020-05-04T04:50:10Z,350,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0003-C-C,2020-05-04T04:58:00Z,240,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0002-C-M,2020-05-04T04:58:00Z,450,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0003-C-C,2020-05-04T04:58:00Z,240,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T04:58:10Z,130,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0004-G-L,2020-05-04T04:58:10Z,130,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0004-G-L,2020-05-04T04:58:10Z,240,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0006-O-L,2020-05-04T05:01:10Z,170,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0004-G-L,2020-05-04T05:01:50Z,250,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T05:03:20Z,890,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0007-F-V,2020-05-04T05:04:00Z,930,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0007-F-V,2020-05-04T05:04:30Z,820,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T05:05:10Z,410,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T05:06:00Z,730,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0002-C-M,2020-05-04T05:06:40Z,1320,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0005-P-M,2020-05-04T05:06:50Z,260,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0006-O-L,2020-05-04T05:12:40Z,340,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0006-O-L,2020-05-04T05:12:40Z,340,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T05:13:20Z,670,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0009-L-V,2020-05-04T05:15:00Z,820,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0010-D-L,2020-05-04T05:15:00Z,2790,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0010-D-L,2020-05-04T05:15:10Z,860,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T05:15:10Z,2710,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T05:24:00Z,380,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0008-P-S,2020-05-04T05:24:20Z,170,8,Infectious Diseases,Infectious diseases #2
008-0005-P-M,008-0006-O-L,2020-05-04T05:24:30Z,180,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T05:30:00Z,680,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T05:31:20Z,650,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0010-D-L,2020-05-04T05:32:30Z,280,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0010-D-L,2020-05-04T05:32:30Z,280,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0005-P-M,2020-05-04T05:36:40Z,1170,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T05:37:50Z,360,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0018-G-S,2020-05-04T05:41:00Z,30,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0017-B-C,2020-05-04T05:43:30Z,250,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T05:44:40Z,480,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T05:46:10Z,1080,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T05:46:10Z,1130,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0008-P-S,2020-05-04T05:47:00Z,50,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0031-C-B,2020-05-04T05:47:20Z,360,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0036-R-J,2020-05-04T05:49:10Z,30,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0038-G-G,2020-05-04T05:51:10Z,30,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0038-G-G,2020-05-04T05:51:50Z,90,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T05:55:10Z,170,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0038-G-G,2020-05-04T05:55:20Z,120,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0046-M-O,2020-05-04T05:57:00Z,30,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0019-J-G,2020-05-04T05:58:20Z,370,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T05:59:20Z,440,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T05:59:20Z,440,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0007-F-V,2020-05-04T06:00:50Z,210,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0007-F-V,2020-05-04T06:01:20Z,290,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T06:01:30Z,3600,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T06:01:40Z,3590,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0037-C-J,2020-05-04T06:02:30Z,480,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0010-D-L,2020-05-04T06:02:50Z,1730,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0054-T-L,2020-05-04T06:04:00Z,50,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0054-T-L,2020-05-04T06:04:10Z,40,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0054-T-L,2020-05-04T06:05:50Z,50,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0010-D-L,2020-05-04T06:06:50Z,80,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0002-C-M,2020-05-04T06:06:50Z,80,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T06:07:10Z,410,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T06:07:10Z,440,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0054-T-L,2020-05-04T06:08:00Z,300,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0054-T-L,2020-05-04T06:08:00Z,890,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0054-T-L,2020-05-04T06:08:10Z,280,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0015-D-M,2020-05-04T06:08:20Z,530,8,Infectious Diseases,Infectious diseases #2
008-0020-T-M,008-0054-T-L,2020-05-04T06:09:50Z,450,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0020-T-M,2020-05-04T06:09:50Z,170,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T06:10:20Z,260,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0020-T-M,2020-05-04T06:12:20Z,300,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0020-T-M,2020-05-04T06:13:50Z,210,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0036-R-J,2020-05-04T06:14:10Z,280,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0017-B-C,2020-05-04T06:16:50Z,20,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T06:17:20Z,1290,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0018-G-S,2020-05-04T06:17:50Z,280,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0018-G-S,2020-05-04T06:18:00Z,350,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T06:19:10Z,260,8,Infectious Diseases,Infectious diseases #2
008-0051-K-R,008-0060-F-E,2020-05-04T06:20:20Z,1600,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T06:20:40Z,560,8,Infectious Diseases,Infectious diseases #2
