from,to,date_posix_first,length,ward_id,wardType,newID
008-0006-O-L,008-0017-B-C,2020-05-04T05:43:30Z,250,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0037-C-J,2020-05-04T06:02:30Z,480,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0007-F-V,2020-05-04T06:27:00Z,20,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0021-T-F,2020-05-04T06:38:50Z,190,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0022-L-G,2020-05-04T07:15:10Z,150,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0007-F-V,2020-05-04T07:22:30Z,220,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0054-T-L,2020-05-04T07:24:00Z,120,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0025-H-C,2020-05-04T07:24:50Z,860,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0063-H-B,2020-05-04T07:37:00Z,50,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0055-G-J,2020-05-04T07:37:00Z,40,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0031-C-B,2020-05-04T07:37:20Z,160,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0007-F-V,2020-05-04T07:38:40Z,170,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0017-B-C,2020-05-04T07:42:10Z,2580,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0046-M-O,2020-05-04T07:42:20Z,120,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0054-T-L,2020-05-04T07:42:20Z,1600,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0054-T-L,2020-05-04T07:42:20Z,1600,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0038-G-G,2020-05-04T07:42:20Z,860,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0017-B-C,2020-05-04T07:43:00Z,2530,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0065-J-F,2020-05-04T07:43:40Z,80,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0038-G-G,2020-05-04T07:45:30Z,670,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0031-C-B,2020-05-04T07:46:30Z,2270,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0025-H-C,2020-05-04T07:47:20Z,500,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0038-G-G,2020-05-04T07:57:50Z,1430,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0052-C-H,2020-05-04T08:39:20Z,1730,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0052-C-H,2020-05-04T08:48:10Z,1580,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0052-C-H,2020-05-04T09:00:20Z,840,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0052-C-H,2020-05-04T09:25:30Z,190,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0049-D-S,2020-05-04T09:44:10Z,140,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0057-S-M,2020-05-04T09:47:50Z,1380,8,Infectious Diseases,Infectious diseases #2
